Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Hyundai,Creta [2018-2019],SX 1.6 AT CRDi,Automatic,Diesel,1097000,85000,6,Ahmedabad
Audi,Q3 [2012-2015],2.0 TDI quattro Premium,Automatic,Diesel,1371000,121000,9,Ahmedabad
Maruti Suzuki,Celerio,ZXi,Manual,Petrol,547200,30000,2,Ahmedabad
Kia,Seltos [2019-2022],GTX Plus AT 1.4 [2019-2020],Automatic,Petrol,1331000,52937,4,Ahmedabad
Mahindra,XUV500,W7,Manual,Diesel,1097000,72000,5,Ahmedabad
Honda,WR-V [2017-2020],VX MT Petrol,Manual,Petrol,574800,54000,6,Ahmedabad
Maruti Suzuki,Swift,LXi,Manual,Petrol,443000,30232,4,Ahmedabad
Hyundai,Verna [2006-2010],i,Manual,Petrol,972000,17131,3,Ahmedabad
Tata,Nexon [2017-2020],XM,Manual,Petrol,520000,55000,5,Ahmedabad
Honda,WR-V [2017-2020],VX MT Diesel,Manual,Diesel,529400,80156,7,Ahmedabad
MG,Hector [2019-2021],Sharp 1.5 DCT Petrol,Automatic (DCT),Petrol,1300000,26032,5,Ahmedabad
BMW,X1 [2016-2020],xDrive20d M Sport,Automatic,Diesel,2619000,60230,4,Ahmedabad
Tata,Safari [2021-2023],XZ,Manual,Diesel,2270000,15000,1,Ahmedabad
Kia,Sonet [2020-2022],GTX Plus 1.5,Manual,Diesel,854000,50450,4,Ahmedabad
Tata,Altroz,XZ Petrol,Manual,Petrol,765000,22060,2,Ahmedabad
Toyota,Urban Cruiser Hyryder,V Hybrid,Automatic (e-CVT),Hybrid (Electric + Petrol),1763000,26388,1,Ahmedabad
Tata,Safari [2021-2023],XT [2021-2022],Manual,Diesel,1510000,56000,3,Ahmedabad
Tata,Punch,Accomplished AMT,Automatic (AMT),Petrol,753000,8671,2,Ahmedabad
Renault,Duster [2019-2020],RXS Opt CVT,Automatic (CVT),Petrol,812000,40253,5,Ahmedabad
Tata,Nexon [2017-2020],XZ,Manual,Petrol,1670000,35000,2,Ahmedabad
Tata,Nexon [2017-2020],XZ,Manual,Petrol,1670000,35000,2,Mumbai
